#separator:Comma
#html:false
#notetype:Book Insight
#tags column:6
#columns:ID,Front,Back,Source,Book,Tags
amusing-core-8a7f13077090b359,"Giải thích ý chính về: medium, epistemology","Phương tiện truyền thông định hình cách tư duy, không chỉ vận chuyển nội dung.",[R4 02:44] [R5 01:40],Amusing Ourselves to Death,book-insight amusing core
amusing-core-d3ac38ffc17ea296,"Giải thích ý chính về: show business, edutainment","Khi giải trí trở thành khuôn mẫu chung, chính trị, tôn giáo và giáo dục bị tổ chức thành trình diễn.",[R4 01:03] [R5 00:06],Amusing Ourselves to Death,book-insight amusing core
amusing-core-cac17c70f93d8159,"Giải thích ý chính về: context, Now... this",Tin rời rạc và chuyển cảnh liên tục làm mất bối cảnh cần cho hiểu biết.,[R4 04:58] [R5 05:35],Amusing Ourselves to Death,book-insight amusing core
amusing-core-57f9d419604e461e,Giải thích ý chính về: edutainment,Giáo dục bị đo bằng sự vui nhộn có nguy cơ thay thế tư duy sâu bằng tiếp nhận thụ động.,[R4 03:57] [R5 07:50],Amusing Ourselves to Death,book-insight amusing core
amusing-core-e38e7f32cc2b4c26,"Giải thích ý chính về: typography, medium",Hình thức chữ viết cho người đọc điều kiện theo dõi và kiểm tra một chuỗi lập luận.,[R4 02:44] [R5 04:34],Amusing Ourselves to Death,book-insight amusing core
amusing-term-68ef98eb9a9a7ffb,phương tiện truyền thông,Hình thức truyền đạt có thể định hình cách tiếp nhận và tư duy. (medium),[R4 02:44] [R5 01:40] [R5 02:39],Amusing Ourselves to Death,book-insight amusing term
amusing-term-6a808778525496af,giáo dục giải trí,Khuôn bài học ưu tiên tính hấp dẫn; sách được thuật lại là phê bình khi nó thay thế tư duy sâu. (edutainment),[R4 03:57] [R5 07:50] [R6 14:23],Amusing Ourselves to Death,book-insight amusing term
amusing-term-b37b3eee5a416345,bối cảnh,Quan hệ và cấu trúc giúp các mảnh thông tin có ý nghĩa. (context),[R4 04:58] [R5 05:35] [R5 05:35],Amusing Ourselves to Death,book-insight amusing term
amusing-term-6e8695022c2508ba,ý thức truyền thông,"Khả năng hỏi về nguồn, hình thức, phần bị bỏ qua và phản ứng phương tiện khuyến khích. (media literacy)",[R5 08:38] [R5 09:29],Amusing Ourselves to Death,book-insight amusing term
amusing-term-f436cfd48f9d5f20,nhận thức luận,Câu hỏi cách phương tiện tác động tới điều ta coi là biết hoặc hiểu. (epistemology),[R4 02:44] [R5 01:40] [R5 03:47],Amusing Ourselves to Death,book-insight amusing term
amusing-term-ab5a1816730b0ee5,trình diễn giải trí,Khuôn tổ chức nội dung công cộng để thu hút khán giả. (show business),[R4 01:03] [R5 00:06] [R5 07:07],Amusing Ourselves to Death,book-insight amusing term
amusing-qa-3a012862083af37a,Phương tiện khác một kênh chuyển tin trung lập ở đâu?,"Nó định hình cách nghĩ, tiêu chí chú ý và hình thức lập luận được tiếp nhận.",[R4 02:44] [R5 01:40],Amusing Ourselves to Death,book-insight amusing qa
amusing-qa-9fdc5053c32a5a4f,Vì sao biết nhiều tin chưa chắc hiểu nhiều?,Thông tin rời rạc thiếu bối cảnh và cấu trúc liên kết để phán đoán.,[R4 04:58] [R5 05:35] [R5 03:47],Amusing Ourselves to Death,book-insight amusing qa
amusing-qa-9aa659269695125c,Phê bình edutainment nhắm vào điều gì?,Nhắm vào việc ưu tiên vui nhộn thay cho nỗ lực tư duy; không phải mọi bài học thú vị đều xấu.,[R4 03:57] [R5 07:50],Amusing Ourselves to Death,book-insight amusing qa
amusing-qa-4143a2dd47e5b228,Có phản ví dụ cho việc xem video là kém hữu ích không?,R6 viện video hướng dẫn và trải nghiệm hiểu tác giả qua phỏng vấn; đây là phản biện reviewer.,[R6 09:09] [R6 23:55],Amusing Ourselves to Death,book-insight amusing qa
amusing-qa-7ba0981f3d09ffaa,Tựa sách có bị đánh giá cường điệu không?,"Có, R6 nói tựa đề cường điệu; đó là đánh giá cá nhân, không chứng minh toàn bộ luận đề sai.",[R6 22:39],Amusing Ourselves to Death,book-insight amusing qa
amusing-qa-2ed5f7342d789bb4,Thử gì trong bảy ngày với thói quen xem review?,"Trước một video, ghi câu hỏi; sau video, viết một luận điểm cùng bằng chứng và chỗ chưa rõ.",[R5 08:38] [R4 06:04],Amusing Ourselves to Death,book-insight amusing qa
amusing-qa-e91fe4b327f4c954,Kiểm tra hiểu thật sau video thế nào?,Đóng màn hình và diễn giải một cơ chế bằng ví dụ mới; ghi lại phần không giải thích được.,[R4 03:57] [R5 07:50] [R5 03:47],Amusing Ourselves to Death,book-insight amusing qa
amusing-qa-6becea29070286e7,Khi nào nên dùng video thay chữ?,"Với thao tác cần quan sát, thử video hướng dẫn rồi kiểm tra bằng làm thật; đây là đề xuất ứng dụng từ phản ví dụ của R6.",[R6 09:09],Amusing Ourselves to Death,book-insight amusing qa
amusing-qa-73c794578213e0ae,Sách đặt cạnh hai viễn cảnh nào?,Khung đối chiếu Orwell/Huxley phân biệt cưỡng chế với tự nguyện chìm trong giải trí.,[R5 07:50],Amusing Ourselves to Death,book-insight amusing qa
amusing-qa-75152e0a4c7d6bfd,Các nhận xét về AI có phải từ sách 1985 không?,"Không; ở đây chúng là phần liên hệ của R1 và R2, cần tách khỏi luận đề sách.",[R1 00:37] [R2 04:28],Amusing Ourselves to Death,book-insight amusing qa
