sentence_id,volume,group_start,en,zh_simp,zh_ocr,en_ocr,confidence,flags,source
1,1,1,The weather's nice today.,今天天气不错。,,,,LOW_CONF;OCR_MISSING,F1-GMS-0001C 00:06.96-00:08.54
2,1,1,I'm not rich.,我不是个有钱人。,,,,OCR_MISSING,F1-GMS-0001C 00:11.27-00:13.04
3,1,1,This bag is heavy.,这个包很沉。,,,,OCR_MISSING,F1-GMS-0001C 00:15.68-00:17.80
4,1,1,These bags are heavy.,这些包很沉。,,,,OCR_MISSING,F1-GMS-0001C 00:19.95-00:22.03
5,1,1,"Look, there's my friend.","看,那是我的朋友。",,,,OCR_MISSING,F1-GMS-0001C 00:24.10-00:26.84
6,1,1,My brother and I are good tennis players.,我和我哥都是网球高手。,,,,OCR_MISSING,F1-GMS-0001C 00:28.83-00:31.34
7,1,1,His mother is at home. He's at school.,"他母亲在家,他在学校。",,,,OCR_MISSING,F1-GMS-0001C 00:33.89-00:36.94
8,1,1,Her children are at school.,他的孩子们在学校。,,,,OCR_MISSING,F1-GMS-0001C 00:38.94-00:41.15
9,1,1,I'm a taxi driver.,我是一名出租车司机。,,,,OCR_MISSING,F1-GMS-0001C 00:43.37-00:46.22
10,1,1,My sister's a nurse.,我妹妹是护士。,,,,OCR_MISSING,F1-GMS-0001C 00:48.20-00:50.55
11,1,1,He's sick. He's in bed.,"他生病了,他躺在床上。",,,,OCR_MISSING,F1-GMS-0001C 00:52.45-00:55.44
12,1,1,"I'm not hungry, but I'm thirsty.","我不饿,但是我很渴。",,,,OCR_MISSING,F1-GMS-0001C 00:57.41-00:60.00
13,1,1,He's a very old man. He's 98 years old.,"他年纪很大,98岁了。",,,,LOW_CONF;OCR_MISSING,F1-GMS-0001C 01:02.22-01:05.03
14,1,1,"These chairs aren't beautiful, but they're comfortable.","这些椅子不好看,但很舒服。",,,,LOW_CONF;OCR_MISSING,F1-GMS-0001C 01:07.46-01:10.49
15,1,1,The weather is warm and sunny today.,"今天很暖和,阳光明媚。",,,,OCR_MISSING,F1-GMS-0001C 01:12.84-01:16.14
16,1,1,You're late.,"你知道了,我没有,我到的很早。",,,,OCR_MISSING,F1-GMS-0001C 01:18.14-01:21.87
17,1,1,"你迟到了,我没有,我到得很早。","他不在家,他在上班。",,,,OCR_MISSING,F1-GMS-0001C 01:23.86-01:26.92
18,1,1,"他不在家,他在上班。",这是你的外套。,,,,OCR_MISSING,F1-GMS-0001C 01:28.92-01:30.63
19,1,1,这是你的外套。,你叫什么名字?,,,,LOW_CONF;OCR_MISSING,F1-GMS-0001C 01:32.69-01:34.33
20,1,1,你叫什么名字?,我叫艾伦。,,,,OCR_MISSING,F1-GMS-0001C 01:36.59-01:38.02
21,1,1,我叫艾伦。,你从哪里来的?,,,,OCR_MISSING,F1-GMS-0001C 01:40.25-01:41.71
22,1,1,你从哪里来的? Where did you come from?,我从纽约来的。,,,,OCR_MISSING,F1-GMS-0001C 01:44.03-01:46.11
23,1,1,我从纽约来的。,你多大了?,,,,OCR_MISSING,F1-GMS-0001C 01:48.09-01:49.62
24,1,1,你多大了? How old are you?,我二十岁。,,,,OCR_MISSING,F1-GMS-0001C 01:51.63-01:53.43
25,1,1,我二十岁。,你做什么工作?,,,,LOW_CONF;OCR_MISSING,F1-GMS-0001C 01:55.38-01:57.29
26,1,1,你做什么工作?,我是一名教师。,,,,OCR_MISSING,F1-GMS-0001C 01:59.20-02:00.65
27,1,1,I am a teacher.,你最喜欢什么颜色?,,,,OCR_MISSING,F1-GMS-0001C 02:03.01-02:04.77
28,1,1,你最喜欢什么颜色? What color do you like the most?,我最喜欢的颜色是蓝色。,,,,OCR_MISSING,F1-GMS-0001C 02:07.11-02:09.84
29,1,1,我最喜欢的颜色是蓝色。,你对什么感兴趣?,,,,OCR_MISSING,F1-GMS-0001C 02:11.96-02:14.08
30,1,1,你对什么感兴趣?,我对音乐感兴趣。,,,,OCR_MISSING,F1-GMS-0001C 02:16.02-02:18.29
31,1,1,我对音乐感兴趣。,今天很热。,,,,OCR_MISSING,F1-GMS-0001C 02:20.28-02:21.92
32,1,1,今天很热。,今天不热。,,,,LOW_CONF;OCR_MISSING,F1-GMS-0001C 02:24.11-02:25.72
33,1,1,Today is not hot.,今天风很大。,,,,OCR_MISSING,F1-GMS-0001C 02:27.63-02:29.47
34,1,1,今天风很大。,今天没刮风。,,,,OCR_MISSING,F1-GMS-0001C 02:31.70-02:33.22
35,1,1,今天没刮风。,我的手很冷。,,,,OCR_MISSING,F1-GMS-0001C 02:35.59-02:37.33
36,1,1,我的手很冷。,巴西是个很大的国家。,,,,OCR_MISSING,F1-GMS-0001C 02:39.55-02:42.14
37,1,1,Brazil is a big country.,钻石不便宜,,,,OCR_MISSING,F1-GMS-0001C 02:44.06-02:45.61
38,1,1,钻石不便宜,多伦多不在美国,,,,OCR_MISSING,F1-GMS-0001C 02:48.02-02:50.14
39,1,1,多伦多不在美国。,我累了。,,,,OCR_MISSING,F1-GMS-0001C 02:52.32-02:53.63
40,1,1,我累了。,我不累。,,,,OCR_MISSING,F1-GMS-0001C 02:55.74-02:57.48
41,1,1,我不累。,我饿了。,,,,OCR_MISSING,F1-GMS-0001C 02:59.45-03:00.88
42,1,1,我饿了! I'm hungry!,我不饿。,,,,OCR_MISSING,F1-GMS-0001C 03:02.90-03:04.39
43,1,1,我不饿。,他是游泳健将。,,,,OCR_MISSING,F1-GMS-0001C 03:06.53-03:08.49
44,1,1,他是游泳健将。,我对政治没兴趣。,,,,OCR_MISSING,F1-GMS-0001C 03:10.61-03:12.83
45,1,1,我对政治没兴趣。,你叫什么名字?,,,,LOW_CONF;OCR_MISSING,F1-GMS-0001C 03:14.87-03:16.34
46,1,1,你叫什么名字?,我叫阿曼达。,,,,OCR_MISSING,F1-GMS-0001C 03:18.70-03:20.68
47,1,1,我叫阿曼达。,你结婚了吗?,,,,OCR_MISSING,F1-GMS-0001C 03:22.58-03:24.24
48,1,1,你结婚了吗?,"没有,我单身。",,,,OCR_MISSING,F1-GMS-0001C 03:26.30-03:28.49
49,1,1,"没有,我单身。",你多大了?,,,,LOW_CONF;OCR_MISSING,F1-GMS-0001C 03:30.46-03:31.65
50,1,1,你多大了?How old are you?,我25岁。,,,,OCR_MISSING,F1-GMS-0001C 03:33.77-03:35.34
51,1,51,Are you a student?,你是学生吗?,,,,OCR_MISSING,F1-GMS-0051C 00:06.87-00:08.89
52,1,51,"Yes, I am.","对,我是学生。",,,,OCR_MISSING,F1-GMS-0051C 00:10.97-00:12.49
