#separator:Comma
#html:false
#notetype:Book Insight
#tags column:6
#columns:ID,Front,Back,Source,Book,Tags
attached-core-f40fb8e3c4e0806c,Giải thích ý chính về: effective communication,Giao tiếp hiệu quả bày tỏ nhu cầu và trải nghiệm cá nhân thay vì buộc tội đối phương.,[R1 22:14] [R4 11:27],Attached,book-insight attached core
attached-core-c4b644e4914d8757,Giải thích ý chính về: attachment styles,"Khung gắn bó phân biệt ba kiểu chính: an toàn, lo âu và né tránh.",[R3 01:36] [R4 04:34],Attached,book-insight attached core
attached-core-41510bca0f09e1f9,Giải thích ý chính về: anxious-avoidant trap,"Vòng lo âu - né tránh tự khuếch đại: một người càng đuổi theo, người kia càng rút lui.",[R1 11:13] [R3 04:18],Attached,book-insight attached core
attached-core-d94047268e9c9856,Giải thích ý chính về: secure attachment,Người gắn bó an toàn được mô tả là thoải mái với thân mật và có thể diễn đạt nhu cầu.,[R2 07:02] [R4 04:34],Attached,book-insight attached core
attached-core-7874aa3d9614d53e,Giải thích ý chính về: avoidant attachment,Người né tránh có thể xem thân mật là đe dọa sự độc lập.,[R1 02:24] [R3 02:34],Attached,book-insight attached core
attached-core-028d73103a3f6e1e,Giải thích ý chính về: anxious attachment,Người lo âu nhạy với tín hiệu rời xa và thường cần được trấn an.,[R1 02:24] [R3 01:36],Attached,book-insight attached core
attached-term-0921da191d90d314,kiểu gắn bó,"Khung phân loại an toàn, lo âu, né tránh mô tả cách ứng xử với sự thân mật. (attachment styles)",[R3 01:36] [R4 04:34],Attached,book-insight attached term
attached-term-c113946738e338e2,gắn bó an toàn,Thoải mái với thân mật và có thể diễn đạt nhu cầu. (secure attachment),[R2 07:02] [R4 04:34] [R4 05:42],Attached,book-insight attached term
attached-term-466f06b5ad93ff13,gắn bó lo âu,"Nhạy với tín hiệu rời xa, thường cần sự trấn an. (anxious attachment)",[R1 02:24] [R3 01:36],Attached,book-insight attached term
attached-term-b1a555e254130a9c,gắn bó né tránh,Có xu hướng bảo vệ độc lập bằng khoảng cách khi thân mật bị xem là đe dọa. (avoidant attachment),[R1 02:24] [R3 02:34] [R1 07:02],Attached,book-insight attached term
attached-term-fa488053eb9a65ee,bẫy lo âu - né tránh,Vòng phản hồi giữa đuổi theo và rút lui làm cả hai bất an hơn. (anxious-avoidant trap),[R1 11:13] [R3 04:18] [R1 06:05],Attached,book-insight attached term
attached-term-7b2efc69d1b4dddc,giao tiếp hiệu quả,"Nói nhu cầu cụ thể, thành thật và không buộc tội. (effective communication)",[R1 22:14] [R4 11:27] [R1 22:14] [R4 11:27],Attached,book-insight attached term
attached-term-7c1199b9de1d1db1,phụ thuộc lẫn nhau,"Cách reviewer mô tả quan hệ hỗ trợ trong văn hóa tập thể, không đồng nhất với yếu đuối. (interdependence)",[R1 37:01],Attached,book-insight attached term
attached-qa-7cef3647c1c54336,Ba kiểu là gì?,"An toàn, lo âu và né tránh; đây là khung mô tả được các reviewer thuật lại, không phải chẩn đoán.",[R3 01:36] [R4 04:34],Attached,book-insight attached qa
attached-qa-ff1da97ef83d6d55,Bẫy đuổi - chạy vận hành thế nào?,"Càng đuổi theo để tìm gần gũi càng có thể kích thích rút lui, rồi việc rút lui lại tăng bất an.",[R1 11:13] [R3 04:18],Attached,book-insight attached qa
attached-qa-3b8e80e4ad034733,Vì sao 'tôi cảm thấy' chưa chắc là giao tiếp tốt?,Nó vẫn có thể chứa lời phán xét người kia; cần nói trải nghiệm và nhu cầu cụ thể.,[R1 22:14] [R4 11:27] [R4 11:27],Attached,book-insight attached qa
attached-qa-2c2e75cbd4d94f31,Reviewer phản bác điều gì ở ba nhãn?,Heidi cho rằng ba nhãn quá đơn giản và bỏ sót thay đổi theo bối cảnh quan hệ.,[R1 35:15],Attached,book-insight attached qa
attached-qa-d8642770328203fa,Người an toàn có được trình bày quá lý tưởng không?,Heidi nói có; Kevin cũng nêu khả năng người an toàn dung thứ hành vi tiêu cực.,[R1 36:16] [R4 05:42],Attached,book-insight attached qa
attached-qa-cc75a5ff29159d76,Thử bài tập giao tiếp nào trong bảy ngày?,"Viết lại một tình huống trao đổi thông thường theo quan sát, cảm xúc, nhu cầu và lời đề nghị cụ thể; không dùng bài tập để gán nhãn người khác.",[R1 22:14] [R3 08:43],Attached,book-insight attached qa
attached-qa-986d85d20d032ff3,Kiểm tra câu nói đã hết buộc tội chưa?,"Đọc lại và bỏ các kết luận về tính cách người kia, nhất là 'luôn luôn'; nêu một hành vi cụ thể.",[R4 11:27] [R1 26:39],Attached,book-insight attached qa
attached-qa-bd4b8f082d1264c8,Dùng hình mẫu an toàn để làm gì?,"Thử mô phỏng cách người đó giữ bình tĩnh và nêu nhu cầu khi chuẩn bị một cuộc trao đổi; đây là đề xuất thực hành, không bảo đảm thay đổi kiểu gắn bó.",[R4 10:14] [R4 10:14],Attached,book-insight attached qa
attached-qa-637daa4c047f0e82,Phản biện văn hóa đến từ ai?,"Trong bộ nguồn này, Heidi nêu khác biệt giữa sự bám dính theo cách nhìn phương Tây với quan tâm, trách nhiệm trong văn hóa tập thể.",[R1 37:01],Attached,book-insight attached qa
attached-qa-3c820e3b7c118dcd,Có nên biến ba nhãn thành định nghĩa cố định về bản thân?,Cần thận trọng: Heidi và Kevin đều nêu tính phụ thuộc bối cảnh của cách con người biểu hiện.,[R1 35:15] [R4 10:14],Attached,book-insight attached qa
