video_id,title,url,categories,caption_source,caption_language,detail
IMp_AkT0i9g,"#75 Mindmap Languages – Cách Nói & Viết VSTEP Gọn, Đủ Ý",https://www.youtube.com/watch?v=IMp_AkT0i9g,Writing|Speaking,yt-dlp:auto,vi-orig,ok
YlHXomUrsOg,#74 Mindmap Transport | Cách áp dụng vào Writing & Speaking VSTEP B1–B2,https://www.youtube.com/watch?v=YlHXomUrsOg,Writing|Speaking,yt-dlp:auto,vi-orig,ok
GsF_bv23k-Q,#73 Nắm Vững 5 Từ Vựng Technology Thường Xuyên Xuất Hiện Trong Đề Thi VSTEP,https://www.youtube.com/watch?v=GsF_bv23k-Q,Writing,yt-dlp:auto,vi-orig,ok
YUKAgns3gXg,#72 8 Mẫu Câu “Cứ Dùng Là Ăn Điểm” Cho Bài Nói & Viết VSTEP [Part 2],https://www.youtube.com/watch?v=YUKAgns3gXg,Writing|Speaking,yt-dlp:auto,vi-orig,ok
jBH42ke4dac,#71 8 Mẫu Câu “Cứ Dùng Là Ăn Điểm” Cho Bài Nói & Viết VSTEP [Part 1],https://www.youtube.com/watch?v=jBH42ke4dac,Writing|Speaking,yt-dlp:auto,vi-orig,ok
raA64sm4Lyc,#70 Top 5 Từ Vựng Tiếng Anh Chủ Đề Health - Dùng Được Cả Speaking & Writing,https://www.youtube.com/watch?v=raA64sm4Lyc,Writing|Speaking,yt-dlp:auto,vi-orig,ok
aNjRj5yC8Aw,#69 Học Ngay 5 Từ Vựng Cực Chất Về Environment Cho Bài Nói & Viết VSTEP,https://www.youtube.com/watch?v=aNjRj5yC8Aw,Writing|Speaking,yt-dlp:auto,vi-orig,ok
IOREthbhnI8,"#68 5 TỪ VỰNG ""ĂN ĐIỂM"" CHỦ ĐỀ GIÁO DỤC | Dùng được cho cả Writing & Speaking VSTEP",https://www.youtube.com/watch?v=IOREthbhnI8,Writing|Speaking,yt-dlp:auto,vi-orig,ok
Re-Qy0lsAVE,#67 Viết VSTEP Không Còn Khó Với 3 Cấu Trúc Này! VSTEP WRITING,https://www.youtube.com/watch?v=Re-Qy0lsAVE,Writing,yt-dlp:auto,vi-orig,ok
s9AYAbQw7n0,#66 3 Tiêu Chí Giúp Bạn Trả Lời Speaking Part 2 | Mẫu Trả Lời + 3 Đề Thường Gặp VSTEP,https://www.youtube.com/watch?v=s9AYAbQw7n0,Writing|Speaking,yt-dlp:auto,vi-orig,ok
