video_id,title,url,categories,caption_source,caption_language,detail
JJEG-JyAJOc,Làm như nào để có thể tăng band điểm Speaking Vstep nhỉ?,https://www.youtube.com/watch?v=JJEG-JyAJOc,Speaking,,,"yt-dlp=ERROR: Unable to download video subtitles for 'vi-orig': HTTP Error 429: Too Many Requests; transcript_api=
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=JJEG-JyAJOc! This is most likely caused by:

YouTube is blocking requests from your IP. This usually is due to one of the following reasons:
- You have done too many requests and your IP has been blocked by YouTube
- You are doing requests from an IP belonging to a cloud provider (like AWS, Google Cloud Platform, Azure, etc.). Unfortunately, most IPs from cloud providers are blocked by YouTube.

Ways to work around this are explained in the ""Working around IP bans"" section of the README (https://github.com/jdepoix/youtube-transcript-api?tab=readme-ov-file#working-around-ip-bans-requestblocked-or-ipblocked-exception).


If you are sure that the described cause is not responsible for this error and that a transcript should be retrievable, please create an issue at https://github.com/jdepoix/youtube-transcript-api/issues. Please add which version of youtube_transcript_api you are using and provide the information needed to replicate the error. Also make sure that there are no open issues which already describe your problem!"
0DnelIXGlr4,VSTEP Speaking: Mẹo Tăng Điểm Thần Tốc,https://www.youtube.com/watch?v=0DnelIXGlr4,Speaking,,,"yt-dlp=ERROR: Unable to download video subtitles for 'vi-orig': HTTP Error 429: Too Many Requests; transcript_api=
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=0DnelIXGlr4! This is most likely caused by:

YouTube is blocking requests from your IP. This usually is due to one of the following reasons:
- You have done too many requests and your IP has been blocked by YouTube
- You are doing requests from an IP belonging to a cloud provider (like AWS, Google Cloud Platform, Azure, etc.). Unfortunately, most IPs from cloud providers are blocked by YouTube.

Ways to work around this are explained in the ""Working around IP bans"" section of the README (https://github.com/jdepoix/youtube-transcript-api?tab=readme-ov-file#working-around-ip-bans-requestblocked-or-ipblocked-exception).


If you are sure that the described cause is not responsible for this error and that a transcript should be retrievable, please create an issue at https://github.com/jdepoix/youtube-transcript-api/issues. Please add which version of youtube_transcript_api you are using and provide the information needed to replicate the error. Also make sure that there are no open issues which already describe your problem!"
ranG6S_g3IA,Nắm Chắc Cấu Trúc Bài Thi VSTEP Writing (Task 1 & 2) | VSTEP Dễ Hiểu Cùng Miss Jess!,https://www.youtube.com/watch?v=ranG6S_g3IA,Writing|Speaking,,,"yt-dlp=ERROR: Unable to download video subtitles for 'vi-orig': HTTP Error 429: Too Many Requests; transcript_api=
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=ranG6S_g3IA! This is most likely caused by:

YouTube is blocking requests from your IP. This usually is due to one of the following reasons:
- You have done too many requests and your IP has been blocked by YouTube
- You are doing requests from an IP belonging to a cloud provider (like AWS, Google Cloud Platform, Azure, etc.). Unfortunately, most IPs from cloud providers are blocked by YouTube.

Ways to work around this are explained in the ""Working around IP bans"" section of the README (https://github.com/jdepoix/youtube-transcript-api?tab=readme-ov-file#working-around-ip-bans-requestblocked-or-ipblocked-exception).


If you are sure that the described cause is not responsible for this error and that a transcript should be retrievable, please create an issue at https://github.com/jdepoix/youtube-transcript-api/issues. Please add which version of youtube_transcript_api you are using and provide the information needed to replicate the error. Also make sure that there are no open issues which already describe your problem!"
nMRzG6vpRVU,Hướng Dẫn Chi Tiết Speaking VSTEP: Thi Với Máy Hay Người? Cần Lưu Ý Gì?,https://www.youtube.com/watch?v=nMRzG6vpRVU,Speaking,,,"yt-dlp=ERROR: Unable to download video subtitles for 'vi-orig': HTTP Error 429: Too Many Requests; transcript_api=
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=nMRzG6vpRVU! This is most likely caused by:

YouTube is blocking requests from your IP. This usually is due to one of the following reasons:
- You have done too many requests and your IP has been blocked by YouTube
- You are doing requests from an IP belonging to a cloud provider (like AWS, Google Cloud Platform, Azure, etc.). Unfortunately, most IPs from cloud providers are blocked by YouTube.

Ways to work around this are explained in the ""Working around IP bans"" section of the README (https://github.com/jdepoix/youtube-transcript-api?tab=readme-ov-file#working-around-ip-bans-requestblocked-or-ipblocked-exception).


If you are sure that the described cause is not responsible for this error and that a transcript should be retrievable, please create an issue at https://github.com/jdepoix/youtube-transcript-api/issues. Please add which version of youtube_transcript_api you are using and provide the information needed to replicate the error. Also make sure that there are no open issues which already describe your problem!"
xPU6HzifAWI,HƯỚNG DẪN SỬ DỤNG KHÓA HỌC VSTEP ANYTIME - HỌC CHỦ ĐỘNG QUA VIDEO THU SẴN,https://www.youtube.com/watch?v=xPU6HzifAWI,Writing,,,"yt-dlp=ERROR: Unable to download video subtitles for 'vi-orig': HTTP Error 429: Too Many Requests; transcript_api=
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=xPU6HzifAWI! This is most likely caused by:

YouTube is blocking requests from your IP. This usually is due to one of the following reasons:
- You have done too many requests and your IP has been blocked by YouTube
- You are doing requests from an IP belonging to a cloud provider (like AWS, Google Cloud Platform, Azure, etc.). Unfortunately, most IPs from cloud providers are blocked by YouTube.

Ways to work around this are explained in the ""Working around IP bans"" section of the README (https://github.com/jdepoix/youtube-transcript-api?tab=readme-ov-file#working-around-ip-bans-requestblocked-or-ipblocked-exception).


If you are sure that the described cause is not responsible for this error and that a transcript should be retrievable, please create an issue at https://github.com/jdepoix/youtube-transcript-api/issues. Please add which version of youtube_transcript_api you are using and provide the information needed to replicate the error. Also make sure that there are no open issues which already describe your problem!"
ctm9Fyu0o88,Khám phá 2 dạng bài viết Luận hay gặp nhất trong VSTEP,https://www.youtube.com/watch?v=ctm9Fyu0o88,Writing,,,"yt-dlp=ERROR: Unable to download video subtitles for 'vi-orig': HTTP Error 429: Too Many Requests; transcript_api=
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=ctm9Fyu0o88! This is most likely caused by:

YouTube is blocking requests from your IP. This usually is due to one of the following reasons:
- You have done too many requests and your IP has been blocked by YouTube
- You are doing requests from an IP belonging to a cloud provider (like AWS, Google Cloud Platform, Azure, etc.). Unfortunately, most IPs from cloud providers are blocked by YouTube.

Ways to work around this are explained in the ""Working around IP bans"" section of the README (https://github.com/jdepoix/youtube-transcript-api?tab=readme-ov-file#working-around-ip-bans-requestblocked-or-ipblocked-exception).


If you are sure that the described cause is not responsible for this error and that a transcript should be retrievable, please create an issue at https://github.com/jdepoix/youtube-transcript-api/issues. Please add which version of youtube_transcript_api you are using and provide the information needed to replicate the error. Also make sure that there are no open issues which already describe your problem!"
PjFCvAZmGsw,Workshop 9 - Chữa đề Writing VSTEP chủ đề Education | Workshop VSTEP là dễ cùng Ms. Jess,https://www.youtube.com/watch?v=PjFCvAZmGsw,Writing,,,"yt-dlp=ERROR: Unable to download video subtitles for 'vi-orig': HTTP Error 429: Too Many Requests; transcript_api=
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=PjFCvAZmGsw! This is most likely caused by:

YouTube is blocking requests from your IP. This usually is due to one of the following reasons:
- You have done too many requests and your IP has been blocked by YouTube
- You are doing requests from an IP belonging to a cloud provider (like AWS, Google Cloud Platform, Azure, etc.). Unfortunately, most IPs from cloud providers are blocked by YouTube.

Ways to work around this are explained in the ""Working around IP bans"" section of the README (https://github.com/jdepoix/youtube-transcript-api?tab=readme-ov-file#working-around-ip-bans-requestblocked-or-ipblocked-exception).


If you are sure that the described cause is not responsible for this error and that a transcript should be retrievable, please create an issue at https://github.com/jdepoix/youtube-transcript-api/issues. Please add which version of youtube_transcript_api you are using and provide the information needed to replicate the error. Also make sure that there are no open issues which already describe your problem!"
8mf_gwXt9M0,Workshop 8 - Solving the Most Common Speaking Topics of 2023 | VSTEP Workshops Made Easy with Ms....,https://www.youtube.com/watch?v=8mf_gwXt9M0,Speaking,,,"yt-dlp=ERROR: Unable to download video subtitles for 'vi-orig': HTTP Error 429: Too Many Requests; transcript_api=
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=8mf_gwXt9M0! This is most likely caused by:

YouTube is blocking requests from your IP. This usually is due to one of the following reasons:
- You have done too many requests and your IP has been blocked by YouTube
- You are doing requests from an IP belonging to a cloud provider (like AWS, Google Cloud Platform, Azure, etc.). Unfortunately, most IPs from cloud providers are blocked by YouTube.

Ways to work around this are explained in the ""Working around IP bans"" section of the README (https://github.com/jdepoix/youtube-transcript-api?tab=readme-ov-file#working-around-ip-bans-requestblocked-or-ipblocked-exception).


If you are sure that the described cause is not responsible for this error and that a transcript should be retrievable, please create an issue at https://github.com/jdepoix/youtube-transcript-api/issues. Please add which version of youtube_transcript_api you are using and provide the information needed to replicate the error. Also make sure that there are no open issues which already describe your problem!"
27BcVLGTid0,Workshop 7 - Chiến Thuật Nâng Band Điểm VSTEP với Listening | Workshop VSTEP là dễ cùng Ms. Jess,https://www.youtube.com/watch?v=27BcVLGTid0,Writing,,,"yt-dlp=ERROR: Unable to download video subtitles for 'vi-orig': HTTP Error 429: Too Many Requests; transcript_api=
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=27BcVLGTid0! This is most likely caused by:

YouTube is blocking requests from your IP. This usually is due to one of the following reasons:
- You have done too many requests and your IP has been blocked by YouTube
- You are doing requests from an IP belonging to a cloud provider (like AWS, Google Cloud Platform, Azure, etc.). Unfortunately, most IPs from cloud providers are blocked by YouTube.

Ways to work around this are explained in the ""Working around IP bans"" section of the README (https://github.com/jdepoix/youtube-transcript-api?tab=readme-ov-file#working-around-ip-bans-requestblocked-or-ipblocked-exception).


If you are sure that the described cause is not responsible for this error and that a transcript should be retrievable, please create an issue at https://github.com/jdepoix/youtube-transcript-api/issues. Please add which version of youtube_transcript_api you are using and provide the information needed to replicate the error. Also make sure that there are no open issues which already describe your problem!"
8ehiXFluOFw,Workshop 6 - Mẹo thi Writing & Speaking VSTEP trên máy tính | Workshop VSTEP là dễ cùng Ms. Jess,https://www.youtube.com/watch?v=8ehiXFluOFw,Writing|Speaking,,,"yt-dlp=ERROR: Unable to download video subtitles for 'vi-orig': HTTP Error 429: Too Many Requests; transcript_api=
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=8ehiXFluOFw! This is most likely caused by:

YouTube is blocking requests from your IP. This usually is due to one of the following reasons:
- You have done too many requests and your IP has been blocked by YouTube
- You are doing requests from an IP belonging to a cloud provider (like AWS, Google Cloud Platform, Azure, etc.). Unfortunately, most IPs from cloud providers are blocked by YouTube.

Ways to work around this are explained in the ""Working around IP bans"" section of the README (https://github.com/jdepoix/youtube-transcript-api?tab=readme-ov-file#working-around-ip-bans-requestblocked-or-ipblocked-exception).


If you are sure that the described cause is not responsible for this error and that a transcript should be retrievable, please create an issue at https://github.com/jdepoix/youtube-transcript-api/issues. Please add which version of youtube_transcript_api you are using and provide the information needed to replicate the error. Also make sure that there are no open issues which already describe your problem!"
