video_id,title,url,categories
C3Y2bLa6O5k,"Aptis speaking P2 - cách trả lời nhanh, dễ, hiệu quả - By Ms Mai Hien",https://www.youtube.com/watch?v=C3Y2bLa6O5k,Speaking
tEU8stR3yFM,"Aptis Speaking Part 1 - Simple, Fast, and Effective Ways to Answer - By Ms. Mai Hien",https://www.youtube.com/watch?v=tEU8stR3yFM,Speaking
gS1gECT8dSY,Mẹo trả lời Aptis speaking - By Ms Mai Hien,https://www.youtube.com/watch?v=gS1gECT8dSY,Speaking
P5bTs4t23Os,Tips to improve Aptis Writing score during the test - By Ms Mai Hien,https://www.youtube.com/watch?v=P5bTs4t23Os,Writing
cHVpH2a1q6k,Aptis Writing - Television club - for students weak in B1,https://www.youtube.com/watch?v=cHVpH2a1q6k,Writing
OiDpi_vW8go,Aptis Writing: chủ đề Problems (gộp 11 đề) - Ms Mai Hien,https://www.youtube.com/watch?v=OiDpi_vW8go,Writing
vbpVKqgXlaA,"Aptis Writing: Khung - Chủ đề mời ai làm MC, speaker, volunteer (1 khung dùng cho 8 đề)",https://www.youtube.com/watch?v=vbpVKqgXlaA,Writing|Speaking
Zky26w7eFYk,Aptis Writing - Ms Mai Hien - Finding a house,https://www.youtube.com/watch?v=Zky26w7eFYk,Writing
zFLjfb7NxWI,How to memorize Speaking passages - Convert Word files to MP3 - Ms. Mai Hien,https://www.youtube.com/watch?v=zFLjfb7NxWI,Speaking
iR-h0JtfgkI,Aptis Speaking Practice - Aptis Class - Ms. Mai Hien - 0975864971,https://www.youtube.com/watch?v=iR-h0JtfgkI,Speaking
vkOYX_1-LfM,Mai Hien - Vstep - cách vào làm bài thi thử và xem đáp án bài thi,https://www.youtube.com/watch?v=vkOYX_1-LfM,Writing
KfM5oEQy_5I,Aptis Speaking Part 3- dành cho các bạn yếu- by Ms Mai Hiên,https://www.youtube.com/watch?v=KfM5oEQy_5I,Speaking
0zTxN6m31Wg,Vstep Writing - Informal letter - Cách viết thư và mẹo nâng điểm - Mai Hien Vstep,https://www.youtube.com/watch?v=0zTxN6m31Wg,Writing
pwf4tV8qGng,Ms Mai Hien giải đề Aptis Writing - Fashion club - đề mới toanh - dễ làm,https://www.youtube.com/watch?v=pwf4tV8qGng,Writing
5rpSRk2NQEg,"Ms Mai Hiên Giải đề Food Club - Aptis Writing - đơn giản, dễ viết",https://www.youtube.com/watch?v=5rpSRk2NQEg,Writing
72mX_C9Poc8,"Mai Hien - Vstep - Speaking Part 2 - 10 lí do đơn giản, ai cũng nói được.",https://www.youtube.com/watch?v=72mX_C9Poc8,Speaking
HQWfGHzdyaQ,Ms Mai Hiên chữa bài Writing - Food club của học viên,https://www.youtube.com/watch?v=HQWfGHzdyaQ,Writing
laa6-HuqoQA,ChatGPT: An Excellent Tool for Self-Correction and Improving Writing Scores,https://www.youtube.com/watch?v=laa6-HuqoQA,Writing
8HcMcidNbVU,Vstep Speaking Part 3 - Mẹo trả lời điểm cao,https://www.youtube.com/watch?v=8HcMcidNbVU,Speaking
dYMgUsCcdv8,Aptis Speaking Part 2 - Ảnh một người đang thuyết trình,https://www.youtube.com/watch?v=dYMgUsCcdv8,Writing|Speaking
FaIDdIWJpmE,Aptis Writing Part 4 -   Language course - Ms Mai Hien,https://www.youtube.com/watch?v=FaIDdIWJpmE,Writing
P7BUQcVolfE,"Mai Hien Aptis - Possible suggestions, solutions for Part 4 - Aptis Writing -",https://www.youtube.com/watch?v=P7BUQcVolfE,Writing
a8E8I__QhKk,Vstep Speaking Part 3 - Ms Mai Hien,https://www.youtube.com/watch?v=a8E8I__QhKk,Speaking
Y4Vo20MFm2E,Aptis Writing Part 4: Technology Club - Exam Topic from 4/9/24 - Guided by Ms. Mai Hien,https://www.youtube.com/watch?v=Y4Vo20MFm2E,Writing
QGOF04bTL3o,Ms Mai Hien - Aptis Writing Part 4 - Formal Letter,https://www.youtube.com/watch?v=QGOF04bTL3o,Writing
a66hpci79VA,Ms Mai Hien - Formal letter,https://www.youtube.com/watch?v=a66hpci79VA,Writing
2HAewyn9u8I,Ms Mai Hien - Aptis speaking Part 2 - Mẹo trả lời - ai cũng làm được -,https://www.youtube.com/watch?v=2HAewyn9u8I,Speaking
P_fnqTnT8kI,Vstep Speaking Part 1- k hiểu câu hỏi hoặc trả lời dc rất ít thì trả lời sao cho OK?,https://www.youtube.com/watch?v=P_fnqTnT8kI,Speaking
mn4A_BZ0rNc,Mẹo nâng điểm viết,https://www.youtube.com/watch?v=mn4A_BZ0rNc,Writing
dsZxOHp9nLQ,Easy-to-apply tips for speaking and writing - How to answer multiple-choice questions,https://www.youtube.com/watch?v=dsZxOHp9nLQ,Writing|Speaking
qqJ49LmeyBM,"Tips for speaking and writing, incredibly easy to apply.",https://www.youtube.com/watch?v=qqJ49LmeyBM,Writing|Speaking
EkUR3DZiPAE,Tips for speaking - cực dễ áp dụng cho các bạn nói kém,https://www.youtube.com/watch?v=EkUR3DZiPAE,Speaking
r5rI25O592I,Aptis Speaking p1: How do B1 and B2 levels answer?,https://www.youtube.com/watch?v=r5rI25O592I,Speaking
OGXmkxl6h4o,10 câu hữu ích cho APTIS speaking,https://www.youtube.com/watch?v=OGXmkxl6h4o,Speaking
f23u4RhHQR0,Boost Your Writing Score: Many vs. A lot of,https://www.youtube.com/watch?v=f23u4RhHQR0,Writing
IAwityB-ZII,Thi thử VSTEP và học trên trang web của cô Mai Hiên,https://www.youtube.com/watch?v=IAwityB-ZII,Writing
hOfGQNPeVF8,Hướng dẫn cách trả lời Aptis Speaking,https://www.youtube.com/watch?v=hOfGQNPeVF8,Speaking
gc-VZLjDJBw,Vstep speaking part 1 test 1,https://www.youtube.com/watch?v=gc-VZLjDJBw,Speaking
z9y3RfJoYpo,Làm thế nào để viết writing được dài? Thủ thuật nâng điểm writing cực nhanh và dễ (B2 writing),https://www.youtube.com/watch?v=z9y3RfJoYpo,Writing
fsKkI6tlwFw,Bài thi VSTEP SPEAKING trên máy tính như thế nào,https://www.youtube.com/watch?v=fsKkI6tlwFw,Speaking
